Transaction_ID,Date,Region,Branch,Category,Sales,Profit,Discount,Customer_Rating
T001,2024-01-05,North,Downtown,Electronics,"$1,200.00",300.0,0.1,4.5
T002,2024-01-06,North,Downtown,Clothing,"$450.00",120.0,0.05,4.0
T003,2024-01-07,South,Suburbs,Furniture,"$850.00",-50.0,0.2,3.5
T004,2024-01-08,East,Uptown,Electronics,"$2,300.00",580.0,0.15,4.8
T005,2024-01-09,West,Downtown,Clothing,"$310.00",90.0,,4.2
T006,2024-01-10,North,Uptown,Furniture,,220.0,0.1,3.8
T007,2024-01-11,South,Downtown,Electronics,"$1,750.00",410.0,0.05,4.6
T008,2024-01-12,East,Suburbs,Clothing,"$620.00",180.0,0.1,
T009,2024-01-13,West,Uptown,Electronics,"$99,999.00",45000.0,0.5,2.0
T010,2024-01-14,North,Suburbs,Furniture,"$780.00",160.0,0.15,3.9
T011,2024-01-15,South,Uptown,Clothing,"$510.00",140.0,0.05,4.3
T012,2024-01-16,East,Downtown,Electronics,"$1,400.00",350.0,,4.7
T013,2024-01-17,West,Suburbs,Furniture,"$920.00",-30.0,0.25,3.2
T014,2024-01-18,North,Downtown,Electronics,"$1,600.00",420.0,0.1,4.4
T015,2024-01-19,South,Suburbs,Clothing,"$380.00",95.0,0.05,4.1
T016,2024-01-20,East,Uptown,Furniture,"$1,100.00",260.0,0.1,4.0
T017,2024-01-21,West,Downtown,Electronics,"$1,850.00",480.0,0.12,4.9
T018,2024-01-22,North,Uptown,Clothing,,110.0,0.05,3.7
T019,2024-01-23,South,Downtown,Furniture,"$740.00",130.0,0.15,3.6
T020,2024-01-24,East,Suburbs,Electronics,"$2,100.00",510.0,0.1,4.8
T020,2024-01-24,East,Suburbs,Electronics,"$2,100.00",510.0,0.1,4.8
